16 | ( -1, -1 )
1 | ( 10, 0 )
18 | ( -1, -1 )
24 | ( -1, -1 )
14 | ( -1, -1 )
2 | ( 60, 0 )
17 | ( -1, -1 )
1 | ( 36, 0 )
18 | ( -1, -1 )
24 | ( -1, -1 )
20 | ( -1, -1 )
21 | ( -1, -1 )
14 | ( -1, -1 )
20 | ( -1, -1 )
2 | ( 49, 0 )
19 | ( -1, -1 )
2 | ( 50, 0 )
19 | ( -1, -1 )
2 | ( 51, 0 )
19 | ( -1, -1 )
2 | ( 52, 0 )
19 | ( -1, -1 )
2 | ( 53, 0 )
21 | ( -1, -1 )
17 | ( -1, -1 )
1 | ( 41, 0 )
18 | ( -1, -1 )
24 | ( -1, -1 )
14 | ( -1, -1 )
2 | ( 48, 0 )
17 | ( -1, -1 )
1 | ( 45, 0 )
18 | ( -1, -1 )
26 | ( -1, -1 )
14 | ( -1, -1 )
2 | ( 12, 0 )
17 | ( -1, -1 )
1 | ( 3, 0 )
18 | ( -1, -1 )
25 | ( -1, -1 )
14 | ( -1, -1 )
2 | ( 66, 0 )
17 | ( -1, -1 )
27 | ( -1, -1 )
1 | ( 36, 1 )
14 | ( -1, -1 )
2 | ( 48, 0 )
1 | ( 27, 0 )
1 | ( 36, 1 )
14 | ( -1, -1 )
1 | ( 10, 0 )
31 | ( -1, -1 )
14 | ( -1, -1 )
2 | ( 49, 0 )
2 | ( 49, 0 )
16 | ( -1, -1 )
1 | ( 41, 0 )
14 | ( -1, -1 )
1 | ( 41, 0 )
3 | ( -1, -1 )
1 | ( 36, 0 )
20 | ( -1, -1 )
1 | ( 36, 1 )
21 | ( -1, -1 )
17 | ( -1, -1 )
16 | ( -1, -1 )
33 | ( -1, -1 )
22 | ( -1, -1 )
1 | ( 41, 0 )
23 | ( -1, -1 )
17 | ( -1, -1 )
16 | ( -1, -1 )
